,Unnamed: 0,pclass,survived,gender,age,sibsp,parch,ticket,fare,embarked
0,0,1,1,female,29.0,0,0,24160,211.34,S
1,1,1,1,male,0.9167,1,2,113781,151.55,S
2,2,1,0,female,2.0,1,2,113781,151.55,S
3,3,1,0,male,30.0,1,2,113781,151.55,S
4,4,1,0,female,25.0,1,2,113781,151.55,S
5,5,1,1,male,48.0,0,0,19952,26.55,S
6,6,1,1,female,63.0,1,0,13502,77.96,S
7,7,1,0,male,39.0,0,0,112050,0.0,S
8,8,1,1,female,53.0,2,0,11769,51.48,S
9,9,1,0,male,71.0,0,0,PC 17609,49.5,C
10,10,1,0,male,47.0,1,0,PC 17757,227.53,C
11,11,1,1,female,18.0,1,0,PC 17757,227.53,C
12,12,1,1,female,24.0,0,0,PC 17477,69.3,C
13,13,1,1,female,26.0,0,0,19877,78.85,S
14,14,1,1,male,80.0,0,0,27042,30.0,S
15,15,1,0,male,<function mean at 0x0000018EA5CE2158>,0,0,PC 17318,25.93,S
16,16,1,0,male,24.0,0,1,PC 17558,247.52,C
17,17,1,1,female,50.0,0,1,PC 17558,247.52,C
18,18,1,1,female,32.0,0,0,11813,76.29,C
19,19,1,0,male,36.0,0,0,13050,75.24,C
20,20,1,1,male,37.0,1,1,11751,52.55,S
21,21,1,1,female,47.0,1,1,11751,52.55,S
22,22,1,1,male,26.0,0,0,111369,30.0,C
23,23,1,1,female,42.0,0,0,PC 17757,227.53,C
24,24,1,1,female,29.0,0,0,PC 17483,221.78,S
25,25,1,0,male,25.0,0,0,13905,26.0,C
26,26,1,1,male,25.0,1,0,11967,91.08,C
27,27,1,1,female,19.0,1,0,11967,91.08,C
28,28,1,1,female,35.0,0,0,PC 17760,135.63,S
29,29,1,1,male,28.0,0,0,110564,26.55,S
30,30,1,0,male,45.0,0,0,113784,35.5,S
31,31,1,1,male,40.0,0,0,112277,31.0,C
32,32,1,1,female,30.0,0,0,36928,164.87,S
33,33,1,1,female,58.0,0,0,113783,26.55,S
34,34,1,0,male,42.0,0,0,110489,26.55,S
35,35,1,1,female,45.0,0,0,PC 17608,262.38,C
36,36,1,1,female,22.0,0,1,113505,55.0,S
37,37,1,1,male,<function mean at 0x0000018EA5CE2158>,0,0,111427,26.55,S
38,38,1,0,male,41.0,0,0,113054,30.5,S
39,39,1,0,male,48.0,0,0,PC 17591,50.5,C
